State,Year,Unemployment_Rate_Rank,Unemployment_Rate_Value
Alaska,2019,50.0,6.6
Alabama,2019,28.0,3.9
United States,2019,0.0,3.9
Arkansas,2019,24.0,3.8
Arizona,2019,45.0,4.7
California,2019,35.0,4.2
Colorado,2019,13.0,3.3
Connecticut,2019,30.0,4.1
District of Columbia,2019,0.0,5.6
Delaware,2019,24.0,3.8
Florida,2019,22.0,3.6
Georgia,2019,28.0,3.9
Hawaii,2019,2.0,2.6
Iowa,2019,1.0,2.5
Idaho,2019,10.0,3.0
Illinois,2019,35.0,4.2
Indiana,2019,18.0,3.5
Kansas,2019,15.0,3.4
Kentucky,2019,41.0,4.4
Louisiana,2019,48.0,4.9
Massachusetts,2019,15.0,3.4
Maryland,2019,35.0,4.2
Maine,2019,18.0,3.5
Michigan,2019,30.0,4.1
Minnesota,2019,5.0,2.8
Missouri,2019,12.0,3.2
Mississippi,2019,47.0,4.8
Montana,2019,23.0,3.7
North Carolina,2019,24.0,3.8
North Dakota,2019,5.0,2.8
Nebraska,2019,5.0,2.8
New Hampshire,2019,2.0,2.6
New Jersey,2019,35.0,4.2
New Mexico,2019,45.0,4.7
Nevada,2019,43.0,4.5
New York,2019,30.0,4.1
Ohio,2019,43.0,4.5
Oklahoma,2019,15.0,3.4
Oregon,2019,30.0,4.1
Pennsylvania,2019,40.0,4.3
Rhode Island,2019,30.0,4.1
South Carolina,2019,18.0,3.5
South Dakota,2019,8.0,2.9
Tennessee,2019,18.0,3.5
Texas,2019,24.0,3.8
Utah,2019,13.0,3.3
Virginia,2019,8.0,2.9
Vermont,2019,4.0,2.7
Washington,2019,41.0,4.4
Wisconsin,2019,10.0,3.0
West Virginia,2019,49.0,5.3
Wyoming,2019,35.0,4.2
