State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Uninsured_Rank,Uninsured_Value,Year
Maine,Y,263741.0,15.0,0.273,39.0,205.7,12.0,227.4,9.0,81.2,2.0,88.1,27.0,10.6,25.0,29.3,29.0,16.7,36.0,34.1,40.0,38.5,26.0,70.6,33.0,6.6,24.0,29.9,22.0,7144.0,7.0,187.4,22.0,8.7,10.0,3.9,24.0,8.2,2017
Montana,Y,274234.0,23.0,0.115,17.0,183.5,17.0,231.8,38.0,74.6,39.0,73.6,5.0,8.1,6.0,21.4,17.0,13.4,7.0,29.1,4.0,33.1,48.0,63.6,20.0,5.7,6.0,25.5,36.0,8229.0,44.0,113.6,20.0,8.5,17.0,4.2,36.0,9.9,2017
Tennessee,N,1548572.0,45.0,-0.381,44.0,216.5,45.0,308.0,12.0,80.2,27.0,78.0,44.0,12.7,15.0,26.0,39.0,19.9,44.0,38.5,47.0,40.0,40.0,67.4,38.0,6.9,45.0,34.8,43.0,9467.0,27.0,138.5,25.0,9.4,24.0,4.7,34.0,9.7,2017
Michigan,Y,2366223.0,30.0,-0.071,38.0,201.5,42.0,293.0,17.0,79.2,7.0,85.2,33.0,11.2,18.0,26.8,35.0,18.0,33.0,33.1,39.0,38.2,29.0,70.2,32.0,6.5,40.0,32.5,31.0,7853.0,6.0,193.0,34.0,10.3,26.0,4.9,11.0,5.8,2017
Alaska,Y,200369.0,34.0,-0.19,29.0,194.9,11.0,222.2,49.0,69.2,50.0,67.8,3.0,7.5,1.0,11.1,27.0,15.6,4.0,27.5,6.0,33.9,34.0,68.8,36.0,6.7,30.0,31.4,37.0,8342.0,30.0,133.7,50.0,12.8,49.0,6.6,49.0,14.5,2017
Wisconsin,N,1034480.0,21.0,0.201,26.0,191.7,24.0,238.1,26.0,77.5,14.0,82.9,19.0,9.8,10.0,24.9,26.0,15.1,12.0,29.6,20.0,36.1,3.0,79.4,20.0,5.7,27.0,30.7,13.0,6437.0,20.0,145.2,14.0,7.9,15.0,4.1,7.0,5.5,2017
North Carolina,N,1789111.0,31.0,-0.084,32.0,196.9,30.0,254.3,7.0,81.7,23.0,78.8,35.0,11.3,47.0,35.5,19.0,14.0,40.0,35.2,31.0,37.0,6.0,77.8,42.0,7.2,35.0,31.8,33.0,7889.0,34.0,130.9,25.0,9.4,33.0,5.0,41.0,10.8,2017
New Jersey,Y,1779163.0,12.0,0.375,15.0,182.2,27.0,245.4,3.0,83.4,16.0,82.3,13.0,9.2,50.0,36.4,24.0,14.8,25.0,30.9,15.0,35.4,29.0,70.2,5.0,4.6,13.0,27.3,5.0,5875.0,12.0,171.1,28.0,9.7,26.0,4.9,25.0,8.4,2017
Mississippi,N,646923.0,50.0,-0.705,48.0,226.7,50.0,352.5,32.0,76.0,31.0,77.4,48.0,13.6,3.0,19.0,8.0,11.5,49.0,42.4,41.0,38.7,27.0,70.4,50.0,8.8,49.0,37.3,50.0,10950.0,47.0,105.9,44.0,10.9,43.0,5.7,45.0,12.3,2017
South Carolina,N,1036707.0,46.0,-0.424,37.0,201.3,36.0,277.0,20.0,79.0,26.0,78.4,45.0,13.0,8.0,24.0,23.0,14.5,43.0,37.8,42.0,38.9,32.0,69.7,36.0,6.7,39.0,32.3,42.0,9131.0,36.0,127.0,28.0,9.7,26.0,4.9,39.0,10.5,2017
Alabama,N,899570.0,47.0,-0.4270000000000001,43.0,210.6,49.0,339.6,14.0,79.9,24.0,78.7,49.0,14.6,11.0,25.1,22.0,14.3,48.0,40.4,50.0,42.0,7.0,77.3,49.0,8.5,47.0,35.7,48.0,10321.0,42.0,119.3,38.0,10.4,46.0,6.0,33.0,9.6,2017
Virginia,Y,1028297.0,19.0,0.241,24.0,190.1,25.0,239.1,11.0,81.1,28.0,77.9,23.0,10.4,42.0,33.7,7.0,11.3,34.0,33.2,16.0,35.6,45.0,65.9,23.0,5.8,21.0,29.0,19.0,6696.0,24.0,141.8,23.0,9.1,15.0,4.1,28.0,8.9,2017
Indiana,Y,1478130.0,37.0,-0.207,42.0,210.5,37.0,277.5,43.0,73.5,18.0,81.7,37.0,11.5,22.0,28.1,34.0,17.9,29.0,32.4,44.0,39.1,34.0,68.8,42.0,7.2,40.0,32.5,38.0,8471.0,39.0,123.4,18.0,8.3,22.0,4.5,28.0,8.9,2017
Wyoming,N,61072.0,29.0,-0.017,7.0,170.3,21.0,233.1,36.0,74.9,48.0,68.9,6.0,8.3,28.0,29.8,30.0,17.6,15.0,29.9,11.0,35.0,49.0,62.8,20.0,5.7,16.0,27.7,34.0,8130.0,48.0,105.7,32.0,10.1,37.0,5.4,43.0,11.5,2017
Ohio,Y,2845785.0,40.0,-0.266,40.0,208.7,39.0,283.6,23.0,77.9,15.0,82.7,31.0,11.1,18.0,26.8,46.0,24.5,38.0,34.3,28.0,36.7,38.0,68.0,40.0,7.0,32.0,31.5,39.0,8492.0,13.0,167.3,28.0,9.7,26.0,4.9,14.0,6.1,2017
Pennsylvania,Y,2986599.0,24.0,0.06,35.0,199.6,35.0,263.3,19.0,79.1,6.0,85.8,35.0,11.3,7.0,22.2,43.0,22.2,31.0,32.5,23.0,36.2,20.0,73.7,26.0,6.0,26.0,30.3,28.0,7541.0,5.0,199.8,40.0,10.6,42.0,5.6,13.0,6.0,2017
Arkansas,Y,913196.0,48.0,-0.449,47.0,219.5,47.0,323.0,29.0,76.8,21.0,80.3,47.0,13.5,14.0,25.5,14.0,12.3,46.0,39.3,49.0,41.3,39.0,67.8,44.0,7.5,47.0,35.7,45.0,9972.0,43.0,115.4,8.0,7.5,10.0,3.9,27.0,8.7,2017
Texas,N,4474461.0,38.0,-0.214,11.0,180.9,34.0,261.1,45.0,72.6,48.0,68.9,33.0,11.2,36.0,31.6,5.0,9.7,11.0,29.5,20.0,36.1,33.0,69.5,23.0,5.8,43.0,33.6,23.0,7175.0,45.0,112.9,21.0,8.6,23.0,4.6,50.0,16.9,2017
Illinois,Y,3062268.0,27.0,0.006999999999999999,36.0,199.8,33.0,257.8,22.0,78.2,17.0,82.1,23.0,10.4,34.0,31.3,16.0,13.2,23.0,30.8,19.0,36.0,25.0,71.5,30.0,6.3,33.0,31.6,20.0,6825.0,10.0,175.3,45.0,11.0,44.0,5.9,20.0,6.8,2017
Massachusetts,Y,1683846.0,1.0,0.778,18.0,183.6,3.0,208.3,1.0,83.7,1.0,88.9,14.0,9.3,35.0,31.5,38.0,19.8,12.0,29.6,10.0,34.5,1.0,85.3,2.0,4.4,2.0,23.6,6.0,5970.0,2.0,237.1,15.0,8.1,9.0,3.7,1.0,2.7,2017
Oregon,Y,976182.0,17.0,0.246,25.0,190.6,8.0,217.6,30.0,76.6,25.0,78.6,18.0,9.5,32.0,31.0,14.0,12.3,19.0,30.1,30.0,36.8,50.0,58.1,12.0,5.1,20.0,28.7,14.0,6507.0,22.0,143.8,34.0,10.3,26.0,4.9,18.0,6.6,2017
Hawaii,Y,346747.0,3.0,0.6409999999999999,3.0,161.0,4.0,210.7,44.0,73.2,10.0,84.7,25.0,10.5,12.0,25.3,8.0,11.5,28.0,32.0,25.0,36.3,15.0,75.1,15.0,5.2,3.0,23.8,7.0,6031.0,9.0,179.9,8.0,7.5,3.0,3.0,2.0,3.8,2017
Vermont,Y,163649.0,2.0,0.674,27.0,192.5,16.0,231.6,16.0,79.6,3.0,88.0,7.0,8.4,38.0,32.1,25.0,14.9,10.0,29.4,7.0,34.0,9.0,76.8,5.0,4.6,12.0,27.1,10.0,6326.0,11.0,175.1,5.0,7.1,4.0,3.3,2.0,3.8,2017
Arizona,Y,1716236.0,33.0,-0.157,6.0,169.6,5.0,214.4,27.0,76.9,40.0,73.3,29.0,10.8,21.0,28.0,37.0,19.0,23.0,30.8,33.0,37.3,31.0,69.9,23.0,5.8,21.0,29.0,25.0,7246.0,37.0,126.0,42.0,10.8,35.0,5.2,38.0,10.4,2017
Utah,N,302585.0,6.0,0.491,1.0,150.5,17.0,231.8,50.0,68.3,41.0,72.7,2.0,7.2,25.0,29.3,44.0,22.9,1.0,23.6,2.0,32.2,23.0,72.2,10.0,5.0,5.0,25.3,12.0,6399.0,49.0,99.8,8.0,7.5,8.0,3.6,34.0,9.7,2017
Idaho,N,297688.0,14.0,0.284,13.0,181.3,22.0,233.4,46.0,72.3,44.0,72.3,11.0,8.9,45.0,33.9,18.0,13.7,26.0,31.2,36.0,37.6,18.0,73.9,12.0,5.1,14.0,27.4,18.0,6599.0,50.0,96.6,12.0,7.8,10.0,3.9,40.0,10.6,2017
Maryland,Y,1323306.0,13.0,0.313,21.0,187.8,31.0,255.0,1.0,83.7,9.0,84.8,29.0,10.8,33.0,31.2,32.0,17.7,31.0,32.5,18.0,35.9,17.0,74.4,33.0,6.6,24.0,29.9,21.0,7113.0,8.0,184.9,15.0,8.1,17.0,4.2,17.0,6.4,2017
Washington,Y,1782832.0,11.0,0.39,16.0,183.3,6.0,215.7,39.0,74.5,34.0,75.7,16.0,9.4,40.0,33.5,21.0,14.2,14.0,29.7,23.0,36.2,12.0,75.7,8.0,4.7,19.0,28.6,8.0,6096.0,21.0,144.0,34.0,10.3,41.0,5.5,16.0,6.3,2017
Iowa,Y,668047.0,20.0,0.229,30.0,195.2,26.0,245.1,33.0,75.7,11.0,83.4,14.0,9.3,27.0,29.6,4.0,9.4,22.0,30.6,20.0,36.1,21.0,73.5,4.0,4.5,37.0,32.0,11.0,6333.0,23.0,142.3,6.0,7.2,10.0,3.9,5.0,4.7,2017
New York,Y,6477870.0,10.0,0.402,9.0,178.2,32.0,257.6,13.0,80.0,11.0,83.4,25.0,10.5,31.0,30.9,13.0,12.2,9.0,29.3,27.0,36.6,22.0,72.3,5.0,4.6,6.0,25.5,3.0,5701.0,3.0,215.5,25.0,9.4,25.0,4.8,18.0,6.6,2017
