State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Uninsured_Rank,Uninsured_Value,Year
Florida,N,4337514.0,36.0,-0.227,15.0,182.1,13.0,224.8,15.0,79.7,31.0,77.9,35.0,11.3,44.0,31.6,21.0,13.2,35.0,33.5,37.0,38.0,46.0,66.6,27.0,6.1,16.0,26.8,25.0,7179.0,33.0,128.0,42.0,11.5,29.0,5.4,48.0,15.0,2016
Georgia,N,1755450.0,43.0,-0.355,30.0,194.4,36.0,272.9,17.0,79.2,45.0,71.6,35.0,11.3,29.0,28.5,10.0,11.2,41.0,36.2,25.0,36.3,11.0,75.6,44.0,7.2,31.0,30.7,37.0,7980.0,41.0,117.2,35.0,11.1,36.0,5.8,47.0,14.9,2016
Idaho,N,299841.0,18.0,0.231,10.0,177.8,18.0,229.2,46.0,72.3,43.0,73.0,6.0,8.1,23.0,27.4,18.0,13.1,26.0,31.2,36.0,37.6,29.0,71.6,16.0,5.5,18.0,28.6,20.0,6652.0,50.0,93.7,15.0,8.6,13.0,4.3,39.0,12.3,2016
Kansas,N,408885.0,29.0,-0.058,28.0,192.6,29.0,249.6,41.0,74.1,22.0,79.9,21.0,9.7,22.0,27.3,13.0,11.7,27.0,31.6,34.0,37.4,16.0,75.2,33.0,6.4,44.0,34.2,26.0,7180.0,31.0,129.0,9.0,8.2,13.0,4.3,25.0,9.7,2016
Maine,N,269428.0,20.0,0.224,39.0,203.1,12.0,220.8,9.0,81.2,3.0,88.4,24.0,9.9,34.0,29.2,24.0,13.6,36.0,34.1,40.0,38.5,28.0,71.8,39.0,6.9,26.0,30.0,22.0,6812.0,7.0,183.7,24.0,9.8,16.0,4.4,24.0,9.3,2016
Mississippi,N,684094.0,50.0,-0.745,49.0,227.5,50.0,344.8,32.0,76.0,30.0,78.1,50.0,14.7,9.0,22.6,8.0,11.0,49.0,42.4,41.0,38.7,35.0,70.6,50.0,8.9,47.0,35.6,50.0,10804.0,48.0,102.3,43.0,11.7,46.0,6.5,44.0,13.6,2016
Missouri,N,976256.0,34.0,-0.202,41.0,209.3,41.0,283.6,34.0,75.6,32.0,77.7,39.0,11.5,6.0,22.0,36.0,17.0,36.0,34.1,32.0,37.1,32.0,71.0,30.0,6.3,40.0,32.4,40.0,8239.0,16.0,155.9,18.0,9.3,23.0,5.0,31.0,10.8,2016
Nebraska,N,243657.0,15.0,0.28600000000000003,20.0,186.9,16.0,227.0,35.0,75.1,21.0,80.3,14.0,8.8,32.0,29.0,3.0,7.1,15.0,29.9,13.0,35.1,20.0,73.8,14.0,5.2,37.0,31.4,18.0,6529.0,19.0,148.0,3.0,6.7,2.0,3.0,22.0,9.0,2016
North Carolina,N,2083547.0,31.0,-0.096,33.0,196.2,30.0,251.9,7.0,81.7,28.0,78.3,31.0,10.7,31.0,28.6,22.0,13.3,40.0,35.2,31.0,37.0,10.0,76.4,41.0,7.0,28.0,30.1,34.0,7746.0,32.0,128.3,38.0,11.3,38.0,5.9,37.0,12.2,2016
Oklahoma,N,804355.0,47.0,-0.428,44.0,215.2,48.0,325.9,40.0,74.3,39.0,74.8,42.0,11.7,2.0,19.9,43.0,20.9,41.0,36.2,37.0,38.0,14.0,75.4,46.0,7.5,43.0,33.9,46.0,9895.0,36.0,123.7,7.0,8.0,13.0,4.3,46.0,14.7,2016
South Carolina,N,996551.0,42.0,-0.345,38.0,202.7,37.0,274.1,20.0,79.0,29.0,78.2,43.0,11.8,21.0,27.2,23.0,13.4,43.0,37.8,42.0,38.9,41.0,68.2,36.0,6.7,38.0,31.7,41.0,8796.0,35.0,124.3,39.0,11.4,38.0,5.9,39.0,12.3,2016
South Dakota,N,119956.0,26.0,0.012,19.0,185.5,22.0,233.8,42.0,74.0,24.0,79.0,19.0,9.3,8.0,22.5,2.0,6.6,15.0,29.9,5.0,33.3,11.0,75.6,29.0,6.2,30.0,30.4,30.0,7245.0,39.0,120.2,2.0,6.3,4.0,3.5,27.0,10.0,2016
Tennessee,N,1636770.0,45.0,-0.365,45.0,215.6,45.0,302.7,12.0,80.2,33.0,77.6,45.0,12.7,3.0,20.5,40.0,18.3,44.0,38.5,47.0,40.0,37.0,70.1,39.0,6.9,42.0,33.8,43.0,9369.0,27.0,135.1,30.0,10.7,34.0,5.7,34.0,11.2,2016
Texas,N,4799893.0,35.0,-0.224,16.0,182.2,34.0,256.9,45.0,72.6,49.0,66.7,37.0,11.4,28.0,28.4,6.0,9.6,11.0,29.5,20.0,36.1,31.0,71.2,24.0,5.8,40.0,32.4,27.0,7183.0,45.0,110.3,14.0,8.4,16.0,4.4,50.0,18.1,2016
Utah,N,311117.0,11.0,0.37,1.0,149.3,14.0,225.0,50.0,68.3,41.0,73.9,2.0,7.0,38.0,30.3,47.0,22.8,1.0,23.6,2.0,32.2,42.0,68.1,10.0,5.0,6.0,24.5,13.0,6279.0,49.0,96.7,5.0,7.5,5.0,3.6,35.0,11.5,2016
Virginia,N,993220.0,21.0,0.209,23.0,189.2,25.0,239.0,11.0,81.1,26.0,78.7,28.0,10.3,29.0,28.5,7.0,10.1,34.0,33.2,16.0,35.6,50.0,64.4,25.0,6.0,22.0,29.2,16.0,6508.0,24.0,138.1,24.0,9.8,18.0,4.5,27.0,10.0,2016
Wisconsin,N,1037863.0,22.0,0.114,27.0,191.6,24.0,236.8,26.0,77.5,20.0,80.5,9.0,8.4,16.0,25.8,26.0,14.0,12.0,29.6,20.0,36.1,39.0,68.8,25.0,6.0,31.0,30.7,14.0,6324.0,21.0,140.3,13.0,8.3,19.0,4.6,6.0,6.5,2016
Wyoming,N,61925.0,27.0,0.008,7.0,172.0,23.0,234.4,36.0,74.9,47.0,69.4,9.0,8.4,4.0,20.9,37.0,17.7,15.0,29.9,11.0,35.0,22.0,73.3,16.0,5.5,21.0,29.0,36.0,7916.0,47.0,103.7,9.0,8.2,11.0,4.1,36.0,11.8,2016
