State,Year,Premature_Death_Rank,Premature_Death_Value
Alabama,2016,48.0,10097.0
Alaska,2016,35.0,7857.0
Arizona,2016,24.0,7148.0
Arkansas,2016,45.0,9762.0
California,2016,3.0,5528.0
Colorado,2016,10.0,6095.0
Connecticut,2016,2.0,5451.0
Delaware,2016,31.0,7372.0
Florida,2016,25.0,7179.0
Georgia,2016,37.0,7980.0
Hawaii,2016,7.0,5898.0
Idaho,2016,20.0,6652.0
Illinois,2016,21.0,6743.0
Indiana,2016,39.0,8208.0
Iowa,2016,15.0,6328.0
Kansas,2016,26.0,7180.0
Kentucky,2016,44.0,9626.0
Louisiana,2016,47.0,9958.0
Maine,2016,22.0,6812.0
Maryland,2016,23.0,6836.0
Massachusetts,2016,5.0,5755.0
Michigan,2016,33.0,7689.0
Minnesota,2016,1.0,5369.0
Mississippi,2016,50.0,10804.0
Missouri,2016,40.0,8239.0
Montana,2016,29.0,7213.0
Nebraska,2016,18.0,6529.0
Nevada,2016,32.0,7533.0
New Hampshire,2016,12.0,6277.0
New Jersey,2016,6.0,5820.0
New Mexico,2016,42.0,8887.0
New York,2016,4.0,5658.0
North Carolina,2016,34.0,7746.0
North Dakota,2016,19.0,6637.0
Ohio,2016,38.0,8063.0
Oklahoma,2016,46.0,9895.0
Oregon,2016,17.0,6523.0
Pennsylvania,2016,28.0,7189.0
Rhode Island,2016,11.0,6129.0
South Carolina,2016,41.0,8796.0
South Dakota,2016,30.0,7245.0
Tennessee,2016,43.0,9369.0
Texas,2016,27.0,7183.0
Utah,2016,13.0,6279.0
Vermont,2016,9.0,5980.0
Virginia,2016,16.0,6508.0
Washington,2016,8.0,5973.0
West Virginia,2016,49.0,10245.0
Wisconsin,2016,14.0,6324.0
Wyoming,2016,36.0,7916.0
United States,2016,0.0,7054.0
District of Columbia,2016,0.0,8415.0
