State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Injury_Deaths_Rank,Injury_Deaths_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Year,Uninsured_Rank,Uninsured_Value
Alaska,Y,137868.0,30,-0.114,32.0,194.1,8.0,214.9,48.0,70.1,49.0,66.0,3.0,7.4,12.0,25.3,34.0,15.3,12.0,29.8,27.0,38.6,39.0,67.3,17.0,5.4,0.0,85.8,26.0,29.7,36.0,7758.0,31.0,114.2,25.0,11.5,40.0,6.8,2015,47.0,17.8
Arizona,Y,1681587.0,32,-0.141,5.0,169.6,10.0,216.6,45.0,72.6,40.0,72.1,25.0,10.0,38.0,31.9,41.0,18.1,18.0,30.7,35.0,39.7,43.0,66.1,19.0,5.6,0.0,76.4,21.0,28.9,28.0,7164.0,42.0,99.7,48.0,14.7,42.0,6.9,2015,41.0,15.4
Arkansas,Y,839277.0,48,-0.584,46.0,216.9,47.0,313.4,46.0,72.3,23.0,77.8,46.0,12.7,14.0,25.4,17.0,12.1,44.0,38.7,46.0,42.4,44.0,66.0,44.0,7.3,0.0,77.0,50.0,35.9,45.0,9586.0,39.0,105.3,14.0,10.2,26.0,6.1,2015,35.0,13.9
California,Y,12166109.0,16,0.284,6.0,170.1,23.0,233.6,29.0,75.2,37.0,74.5,29.0,10.3,50.0,38.1,12.0,11.3,5.0,28.7,20.0,37.7,6.0,77.9,4.0,4.6,0.0,46.9,4.0,24.7,4.0,5609.0,22.0,123.3,49.0,15.2,47.0,7.5,2015,38.0,14.8
Colorado,Y,1324115.0,13,0.324,3.0,162.2,2.0,196.2,25.0,76.4,29.0,76.2,2.0,7.3,46.0,35.2,35.0,15.8,2.0,26.3,3.0,34.8,21.0,72.8,6.0,4.8,0.0,74.3,1.0,21.3,10.0,5982.0,23.0,123.2,11.0,9.4,15.0,5.0,2015,27.0,12.2
Connecticut,Y,746047.0,4,0.529,7.0,174.6,11.0,217.5,2.0,83.1,9.0,84.2,15.0,9.2,47.0,35.9,23.0,13.1,23.0,31.3,22.0,37.8,20.0,73.0,8.0,4.9,0.0,51.5,8.0,26.3,3.0,5573.0,6.0,169.0,37.0,12.6,37.0,6.6,2015,6.0,8.2
Delaware,Y,241704.0,31,-0.121,36.0,199.1,28.0,245.6,9.0,81.0,5.0,85.9,35.0,11.1,35.0,31.3,39.0,17.2,41.0,35.6,39.0,40.6,13.0,74.5,37.0,7.0,0.0,61.7,33.0,30.7,32.0,7509.0,30.0,114.3,22.0,11.2,19.0,5.7,2015,8.0,8.5
Hawaii,Y,339044.0,3,0.5820000000000001,2.0,155.4,3.0,203.0,27.0,75.8,8.0,84.7,24.0,9.8,2.0,18.3,13.0,11.8,4.0,28.5,4.0,34.9,16.0,73.7,20.0,5.7,0.0,51.0,2.0,22.1,11.0,6047.0,9.0,140.9,14.0,10.2,9.0,4.4,2015,2.0,6.0
Illinois,Y,3134109.0,27,0.003,34.0,198.6,32.0,253.1,35.0,74.0,15.0,80.9,27.0,10.1,32.0,30.8,14.0,11.9,13.0,30.1,11.0,36.6,35.0,68.3,25.0,6.2,0.0,51.6,23.0,29.3,19.0,6555.0,10.0,138.8,39.0,12.7,44.0,7.1,2015,20.0,11.2
Indiana,Y,1437538.0,41,-0.309,42.0,208.8,39.0,275.1,31.0,74.5,18.0,80.3,32.0,10.7,20.0,27.0,35.0,15.8,33.0,33.5,37.0,39.8,42.0,66.3,37.0,7.0,0.0,65.2,44.0,32.7,40.0,8129.0,38.0,106.7,23.0,11.3,25.0,6.0,2015,31.0,12.9
