State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Injury_Deaths_Rank,Injury_Deaths_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Year,Uninsured_Rank,Uninsured_Value
Iowa,Y,608837.0,24,0.087,31.0,193.7,27.0,245.4,28.0,75.7,17.0,80.5,18.0,9.5,26.0,28.6,4.0,8.7,25.0,31.4,43.0,41.1,27.0,71.3,5.0,4.7,0.0,58.4,35.0,30.9,14.0,6252.0,45.0,89.0,8.0,8.8,9.0,4.4,2015,5.0,7.2
Kentucky,Y,1179314.0,39,-0.29600000000000004,50.0,228.8,43.0,298.1,22.0,77.0,21.0,79.4,45.0,12.5,21.0,27.5,48.0,24.0,46.0,39.1,49.0,43.2,24.0,72.3,34.0,6.8,0.0,83.2,39.0,31.6,44.0,9110.0,37.0,107.0,28.0,11.7,34.0,6.5,2015,23.0,11.4
Maryland,Y,1162313.0,15,0.295,21.0,188.0,30.0,250.1,7.0,81.2,11.0,82.5,27.0,10.1,42.0,33.2,26.0,13.4,31.0,32.8,16.0,37.0,14.0,74.4,30.0,6.5,0.0,55.4,25.0,29.6,22.0,6780.0,2.0,183.7,20.0,10.7,22.0,5.8,2015,9.0,9.0
Massachusetts,Y,1676400.0,2,0.602,20.0,185.6,4.0,205.6,1.0,84.0,1.0,89.3,21.0,9.7,49.0,36.5,28.0,13.7,8.0,29.4,10.0,36.5,12.0,75.4,1.0,4.2,0.0,44.5,3.0,23.3,2.0,5468.0,1.0,206.7,25.0,11.5,22.0,5.8,2015,1.0,3.5
Michigan,Y,2311459.0,35,-0.19,35.0,198.7,42.0,284.3,13.0,79.4,10.0,83.9,31.0,10.4,15.0,25.8,32.0,14.5,37.0,34.6,39.0,40.6,47.0,65.0,37.0,7.0,0.0,62.1,33.0,30.7,34.0,7618.0,21.0,124.1,46.0,13.9,46.0,7.3,2015,13.0,9.7
Minnesota,Y,1070731.0,7,0.371,11.0,179.5,1.0,186.5,22.0,77.0,31.0,75.8,6.0,8.1,9.0,24.6,5.0,9.4,3.0,27.0,2.0,33.6,33.0,70.5,11.0,5.0,0.0,58.2,15.0,27.6,1.0,5414.0,7.0,146.2,7.0,8.7,5.0,4.1,2015,4.0,7.0
Montana,Y,185716.0,23,0.11699999999999999,13.0,180.1,18.0,227.6,39.0,73.8,44.0,70.9,9.0,8.8,23.0,28.1,26.0,13.4,7.0,29.3,7.0,35.7,41.0,67.1,21.0,5.8,0.0,87.8,9.0,26.4,35.0,7673.0,41.0,102.6,16.0,10.3,13.0,4.7,2015,40.0,15.3
Nevada,Y,596516.0,45,-0.409,22.0,188.1,38.0,274.8,35.0,74.0,50.0,64.8,20.0,9.6,23.0,28.1,47.0,22.4,17.0,30.6,27.0,38.6,37.0,67.7,15.0,5.1,0.0,70.0,16.0,27.7,31.0,7497.0,47.0,85.6,50.0,15.3,49.0,7.8,2015,48.0,17.9
New Hampshire,Y,189687.0,5,0.495,24.0,190.8,7.0,213.3,4.0,81.7,7.0,84.8,13.0,9.1,10.0,24.7,32.0,14.5,13.0,30.1,13.0,36.7,3.0,80.4,8.0,4.9,0.0,59.3,14.0,27.4,6.0,5809.0,11.0,137.5,12.0,9.7,7.0,4.3,2015,16.0,9.9
New Jersey,Y,1737333.0,11,0.345,17.0,183.6,29.0,245.9,9.0,81.0,12.0,81.8,21.0,9.7,40.0,32.4,23.0,13.1,20.0,31.1,34.0,39.2,40.0,67.2,3.0,4.4,0.0,45.4,10.0,26.9,7.0,5819.0,8.0,145.2,32.0,12.4,37.0,6.6,2015,26.0,12.1
New Mexico,Y,738231.0,40,-0.301,4.0,167.3,9.0,216.3,47.0,71.0,47.0,69.2,40.0,11.5,26.0,28.6,49.0,24.4,10.0,29.5,15.0,36.8,10.0,75.9,25.0,6.2,0.0,94.9,19.0,28.4,41.0,8190.0,26.0,119.9,42.0,13.2,34.0,6.5,2015,45.0,16.6
New York,Y,6620649.0,8,0.368,12.0,179.9,34.0,258.5,6.0,81.3,13.0,81.5,25.0,10.0,37.0,31.8,8.0,10.6,26.0,31.5,33.0,39.1,31.0,70.7,11.0,5.0,0.0,42.1,11.0,27.0,5.0,5714.0,5.0,170.1,32.0,12.4,30.0,6.3,2015,13.0,9.7
North Dakota,Y,89240.0,18,0.231,10.0,176.0,17.0,224.8,42.0,73.5,43.0,71.0,8.0,8.6,8.0,24.5,1.0,2.7,11.0,29.7,9.0,36.4,27.0,71.3,25.0,6.2,0.0,61.0,42.0,32.2,26.0,7098.0,25.0,122.4,1.0,5.4,1.0,2.8,2015,10.0,9.1
Ohio,Y,2932001.0,36,-0.226,41.0,207.6,40.0,276.1,18.0,78.2,19.0,80.2,42.0,11.7,12.0,25.3,43.0,18.9,33.0,33.5,19.0,37.5,36.0,68.1,45.0,7.4,0.0,65.5,43.0,32.6,38.0,7991.0,15.0,129.7,21.0,10.9,19.0,5.7,2015,13.0,9.7
Oregon,Y,1044686.0,17,0.266,27.0,192.1,5.0,212.0,33.0,74.4,25.0,77.0,11.0,9.0,36.0,31.6,18.0,12.5,27.0,31.8,16.0,37.0,46.0,65.3,15.0,5.1,0.0,64.9,17.0,27.9,16.0,6319.0,14.0,134.6,47.0,14.2,42.0,6.9,2015,27.0,12.2
Pennsylvania,Y,2769810.0,25,0.039,37.0,199.6,35.0,260.3,19.0,77.6,6.0,84.9,37.0,11.2,23.0,28.1,42.0,18.7,35.0,33.7,26.0,38.5,5.0,78.6,34.0,6.8,0.0,66.1,29.0,30.2,29.0,7204.0,13.0,135.1,27.0,11.6,22.0,5.8,2015,10.0,9.1
Rhode Island,Y,280350.0,12,0.335,28.0,192.4,20.0,229.9,3.0,81.9,4.0,86.3,17.0,9.4,34.0,31.0,44.0,19.6,36.0,33.8,30.0,38.7,11.0,75.6,30.0,6.5,0.0,60.9,11.0,27.0,15.0,6308.0,4.0,179.6,44.0,13.5,48.0,7.7,2015,12.0,9.5
Vermont,Y,191415.0,1,0.674,25.0,191.0,14.0,220.3,15.0,78.8,3.0,86.7,5.0,7.9,44.0,34.0,20.0,12.9,20.0,31.1,6.0,35.2,26.0,71.8,2.0,4.3,0.0,68.9,5.0,24.8,9.0,5958.0,3.0,181.3,8.0,8.8,5.0,4.1,2015,3.0,6.1
Washington,Y,1779640.0,9,0.35700000000000004,16.0,182.8,6.0,212.9,31.0,74.5,36.0,74.7,10.0,8.9,17.0,26.2,30.0,14.1,16.0,30.4,13.0,36.7,38.0,67.4,6.0,4.8,0.0,60.1,13.0,27.3,8.0,5835.0,16.0,128.2,35.0,12.5,29.0,6.2,2015,24.0,11.6
West Virginia,Y,548380.0,47,-0.442,48.0,221.6,45.0,299.6,16.0,78.7,24.0,77.2,50.0,14.1,7.0,24.0,50.0,32.4,50.0,41.0,48.0,42.9,50.0,63.4,45.0,7.4,0.0,98.9,49.0,35.7,49.0,10129.0,33.0,109.2,32.0,12.4,34.0,6.5,2015,22.0,11.3
Alabama,N,888024.0,43,-0.371,43.0,211.6,49.0,330.1,19.0,77.6,27.0,76.5,47.0,12.9,3.0,20.2,16.0,12.0,49.0,40.3,50.0,44.4,7.0,76.9,49.0,8.8,0.0,74.9,46.0,33.5,48.0,10095.0,40.0,103.5,37.0,12.6,40.0,6.8,2015,31.0,12.9
Florida,N,3576023.0,33,-0.163,14.0,182.0,15.0,221.0,12.0,79.5,31.0,75.8,37.0,11.2,40.0,32.4,29.0,13.9,37.0,34.6,38.0,40.3,22.0,72.7,24.0,6.1,0.0,63.7,7.0,26.2,24.0,7059.0,32.0,111.7,40.0,12.8,30.0,6.3,2015,49.0,18.3
Georgia,N,1782498.0,38,-0.28800000000000003,29.0,192.8,36.0,269.8,21.0,77.5,41.0,71.5,41.0,11.6,22.0,28.0,10.0,10.8,39.0,35.0,23.0,38.1,15.0,74.0,32.0,6.6,0.0,60.3,32.0,30.5,37.0,7880.0,36.0,107.1,43.0,13.3,45.0,7.2,2015,46.0,17.3
Idaho,N,282440.0,20,0.16,9.0,175.8,19.0,227.7,49.0,69.3,45.0,70.7,4.0,7.6,28.0,28.7,19.0,12.8,8.0,29.4,25.0,38.4,45.0,65.9,18.0,5.5,0.0,72.1,21.0,28.9,21.0,6747.0,50.0,81.5,16.0,10.3,14.0,4.8,2015,39.0,14.9
Kansas,N,407388.0,26,0.028999999999999998,25.0,191.0,26.0,245.2,43.0,73.3,16.0,80.6,29.0,10.3,31.0,29.1,11.0,11.1,23.0,31.3,23.0,38.1,8.0,76.5,29.0,6.4,0.0,67.2,38.0,31.3,27.0,7110.0,35.0,108.3,10.0,9.1,11.0,4.5,2015,20.0,11.2
Louisiana,N,1077109.0,50,-0.767,47.0,217.9,46.0,306.3,26.0,76.2,37.0,74.5,39.0,11.3,4.0,22.0,31.0,14.4,47.0,39.8,41.0,40.7,19.0,73.2,48.0,8.4,0.0,76.9,47.0,34.9,47.0,9957.0,20.0,125.0,23.0,11.3,32.0,6.4,2015,42.0,15.7
Maine,N,279000.0,10,0.353,39.0,204.3,12.0,218.7,5.0,81.4,2.0,87.9,18.0,9.5,19.0,26.6,14.0,11.9,32.0,33.3,35.0,39.7,1.0,84.7,36.0,6.9,0.0,61.9,18.0,28.2,20.0,6729.0,12.0,135.2,30.0,11.9,19.0,5.7,2015,19.0,10.7
Mississippi,N,692626.0,49,-0.6659999999999999,49.0,225.8,50.0,344.5,34.0,74.3,39.0,73.4,48.0,13.0,1.0,14.9,9.0,10.7,48.0,40.2,45.0,41.9,31.0,70.7,50.0,9.2,0.0,83.2,48.0,35.5,50.0,10744.0,49.0,84.7,45.0,13.6,49.0,7.8,2015,43.0,15.8
Missouri,N,948576.0,34,-0.182,40.0,206.3,41.0,281.4,38.0,73.9,22.0,79.0,35.0,11.1,28.0,28.7,37.0,16.4,28.0,32.0,32.0,38.8,34.0,70.0,32.0,6.6,0.0,74.1,29.0,30.2,39.0,8117.0,28.0,115.2,29.0,11.8,26.0,6.1,2015,29.0,12.3
Nebraska,N,237979.0,14,0.305,19.0,185.4,16.0,224.7,35.0,74.0,20.0,79.8,15.0,9.2,43.0,33.8,3.0,7.3,15.0,30.3,18.0,37.4,4.0,80.2,11.0,5.0,0.0,54.6,29.0,30.2,12.0,6125.0,24.0,123.1,3.0,7.0,2.0,3.3,2015,17.0,10.5
North Carolina,N,2000804.0,28,-0.027999999999999997,33.0,195.2,31.0,251.1,14.0,79.2,28.0,76.3,33.0,10.8,48.0,36.4,21.0,13.0,40.0,35.5,42.0,41.0,2.0,80.8,41.0,7.2,0.0,64.4,26.0,29.7,33.0,7604.0,27.0,119.7,31.0,12.1,26.0,6.1,2015,36.0,14.4
Oklahoma,N,781927.0,46,-0.41,45.0,215.8,48.0,322.5,41.0,73.6,35.0,75.3,43.0,12.0,11.0,25.1,45.0,20.3,42.0,37.5,44.0,41.2,18.0,73.3,41.0,7.2,0.0,91.1,45.0,33.0,46.0,9799.0,48.0,85.2,6.0,8.6,11.0,4.5,2015,44.0,16.5
South Carolina,N,936141.0,44,-0.397,38.0,203.2,37.0,271.8,17.0,78.5,26.0,76.7,43.0,12.0,16.0,25.9,21.0,13.0,43.0,38.4,47.0,42.6,23.0,72.6,41.0,7.2,0.0,72.1,41.0,32.1,42.0,8592.0,34.0,108.8,35.0,12.5,32.0,6.4,2015,37.0,14.7
South Dakota,N,118295.0,21,0.154,18.0,184.8,22.0,232.5,44.0,72.8,34.0,75.5,13.0,9.1,5.0,22.6,2.0,6.4,18.0,30.7,11.0,36.6,9.0,76.3,47.0,7.6,0.0,69.2,28.0,29.8,23.0,6913.0,29.0,114.9,2.0,6.4,3.0,3.4,2015,17.0,10.5
Tennessee,N,1564417.0,42,-0.319,44.0,213.7,44.0,299.0,8.0,81.1,33.0,75.7,48.0,13.0,6.0,23.1,40.0,17.6,45.0,38.8,30.0,38.7,25.0,71.9,37.0,7.0,0.0,79.0,36.0,31.2,43.0,9088.0,18.0,126.4,41.0,13.1,39.0,6.7,2015,31.0,12.9
Texas,N,4727969.0,37,-0.235,15.0,182.3,33.0,253.5,30.0,74.8,48.0,67.1,34.0,11.0,44.0,34.0,7.0,9.8,22.0,31.2,20.0,37.7,48.0,64.0,21.0,5.8,0.0,57.5,40.0,31.9,25.0,7084.0,43.0,99.4,13.0,9.9,16.0,5.1,2015,50.0,20.6
Utah,N,311057.0,6,0.397,1.0,146.1,13.0,218.8,50.0,68.3,42.0,71.1,1.0,7.1,28.0,28.7,46.0,21.9,1.0,24.2,1.0,33.4,30.0,70.8,11.0,5.0,0.0,76.2,6.0,25.7,13.0,6157.0,44.0,90.5,5.0,8.2,4.0,3.8,2015,34.0,13.3
Virginia,N,955868.0,19,0.228,23.0,189.2,25.0,239.1,11.0,80.1,30.0,75.9,21.0,9.7,33.0,30.9,6.0,9.5,30.0,32.5,27.0,38.6,16.0,73.7,28.0,6.3,0.0,54.2,20.0,28.5,18.0,6435.0,17.0,127.2,19.0,10.4,17.0,5.2,2015,24.0,11.6
Wisconsin,N,1044478.0,22,0.146,30.0,193.3,24.0,237.2,24.0,76.6,14.0,81.2,11.0,9.0,39.0,32.2,23.0,13.1,29.0,32.3,8.0,36.2,29.0,70.9,23.0,6.0,0.0,64.8,36.0,31.2,17.0,6365.0,19.0,125.3,16.0,10.3,18.0,5.5,2015,6.0,8.2
Wyoming,N,64508.0,29,-0.043,7.0,174.6,21.0,231.0,39.0,73.8,46.0,69.5,7.0,8.4,17.0,26.2,37.0,16.4,5.0,28.7,5.0,35.0,48.0,64.0,8.0,4.9,0.0,86.7,24.0,29.5,30.0,7320.0,46.0,88.7,4.0,7.5,7.0,4.3,2015,30.0,12.7
