State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Injury_Deaths_Rank,Injury_Deaths_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Year,Uninsured_Rank,Uninsured_Value
Vermont,Y,160114.0,4.0,0.636,29.0,193.9,20.0,237.5,22.0,86.1,2.0,87.4,6.0,8.2,47.0,33.8,26.0,17.0,13.0,30.4,6.0,30.4,15.0,74.0,1.0,3.9,26.0,74.4,11.0,27.6,13.0,6563.0,11.0,183.3,7.0,6.4,6.0,3.1,2018,3.0,4.2
New Hampshire,Y,184476.0,5.0,0.563,27.0,192.8,9.0,221.4,11.0,88.8,4.0,87.1,7.0,8.4,27.0,28.3,49.0,31.9,11.0,30.0,23.0,32.8,3.0,78.9,1.0,3.9,37.0,80.8,13.0,28.1,20.0,7067.0,17.0,163.0,4.0,6.2,3.0,2.8,2018,15.0,5.9
Texas,N,4308644.0,42.0,-0.292,11.0,180.5,34.0,264.2,35.0,84.6,49.0,67.8,41.0,11.9,33.0,29.5,5.0,10.0,28.0,32.5,24.0,33.0,41.0,67.8,19.0,5.7,8.0,59.7,37.0,33.0,22.0,7199.0,45.0,113.2,26.0,8.2,25.0,4.3,2018,50.0,17.0
Nebraska,N,247510.0,14.0,0.318,19.0,187.4,16.0,232.4,37.0,84.4,21.0,80.1,18.0,10.1,49.0,35.8,1.0,6.8,16.0,30.6,16.0,31.9,5.0,77.9,24.0,6.0,7.0,58.5,35.0,32.8,10.0,6401.0,19.0,155.5,3.0,6.1,3.0,2.8,2018,29.0,8.5
Idaho,N,280570.0,20.0,0.264,14.0,182.1,25.0,241.3,49.0,78.4,37.0,74.8,8.0,8.7,47.0,33.8,16.0,14.2,10.0,29.8,7.0,30.8,36.0,69.2,15.0,5.4,28.0,75.6,19.0,29.3,15.0,6723.0,50.0,95.7,14.0,7.1,7.0,3.2,2018,39.0,10.1
Massachusetts,Y,1598878.0,1.0,0.718,16.0,182.7,4.0,208.7,12.0,88.2,5.0,86.6,14.0,9.5,43.0,32.4,43.0,25.2,5.0,28.6,19.0,32.4,1.0,82.1,3.0,4.1,5.0,57.7,7.0,25.8,6.0,6097.0,2.0,245.0,17.0,7.4,20.0,3.9,2018,1.0,2.7
Maryland,Y,1316115.0,17.0,0.29100000000000004,21.0,188.1,30.0,257.7,3.0,91.0,9.0,83.2,19.0,10.4,28.0,28.4,41.0,23.9,26.0,32.4,20.0,32.5,11.0,75.2,35.0,6.6,15.0,68.6,25.0,31.3,28.0,7655.0,8.0,188.2,23.0,8.0,24.0,4.2,2018,17.0,6.1
Virginia,Y,1053309.0,18.0,0.28600000000000003,24.0,190.7,24.0,239.6,16.0,87.0,29.0,76.7,23.0,10.5,45.0,33.3,15.0,13.4,26.0,32.4,37.0,34.7,6.0,77.1,21.0,5.9,9.0,61.2,22.0,30.0,18.0,6877.0,25.0,144.6,21.0,7.9,16.0,3.7,2018,31.0,8.8
New Mexico,Y,728327.0,34.0,-0.18600000000000005,6.0,168.9,10.0,225.0,42.0,82.1,43.0,71.5,29.0,10.7,17.0,26.1,44.0,25.6,14.0,30.5,13.0,31.4,19.0,71.9,18.0,5.6,49.0,105.7,14.0,28.4,42.0,9301.0,26.0,141.6,49.0,11.3,49.0,6.1,2018,35.0,9.2
Mississippi,N,620567.0,49.0,-0.637,48.0,226.6,50.0,356.0,34.0,84.7,31.0,76.5,49.0,14.2,3.0,19.6,8.0,11.9,47.0,40.8,48.0,37.7,38.0,68.7,50.0,8.9,43.0,87.6,49.0,37.3,49.0,11082.0,47.0,108.6,41.0,9.5,45.0,5.1,2018,44.0,11.9
