State_Abbr,State,Medicaid_Expanded,Total_Financial_Assistance_Apps_Submitted,Medicaid_Indiv_Elig_Applied,CHIP_Indiv_Elig_Applied,Total Medicaid and CHIP Determinations,Total_Enrollment,Latitude,Longitude,Tot_Medicaid_Enroll,Tot_CHIP_Enroll,Month,Year
RI,Rhode Island,Y,1982.0,2943.0,406.0,3349.0,305218,44.5672,-122.1269,272489,32729,Feb,2019
MS,Mississippi,N,18313.0,11632.0,707.0,12339.0,621825,38.4623,-92.302,545297,76528,Feb,2019
WA,Washington,Y,121024.0,78296.0,1490.0,79786.0,1723417,40.1135,-111.8535,1652983,70434,Feb,2019
WY,Wyoming,N,1242.0,784.0,36.0,820.0,57594,44.0407,-72.7093,52882,4712,Feb,2019
SD,South Dakota,N,2171.0,1226.0,0.0,1226.0,111231,18.2766,-66.335,95205,16026,Feb,2019
ME,Maine,Y,7843.0,9114.0,644.0,9758.0,257984,39.0724,-76.7902,247725,10259,Feb,2019
AK,Alaska,Y,3865.0,3084.0,173.0,3257.0,217468,61.385,-152.2683,202090,15378,Feb,2019
NY,New York,Y,739497.0,152115.0,6170.0,158285.0,6545353,34.8375,-106.2371,5895161,650192,Feb,2019
MT,Montana,Y,3238.0,3737.0,420.0,4157.0,280624,14.8058,145.5505,251191,29433,Feb,2019
NH,New Hampshire,Y,7106.0,4232.0,416.0,4648.0,182131,47.5362,-99.79299999999999,166972,15159,Feb,2019
CO,Colorado,Y,22654.0,19023.0,380.0,19403.0,1295847,36.17,-119.7462,1214595,81252,Feb,2019
MO,Missouri,N,18443.0,8996.0,538.0,9534.0,882720,45.7326,-93.9196,850474,32246,Feb,2019
KS,Kansas,N,0.0,0.0,0.0,0.0,380638,39.8647,-86.2604,324594,56044,Feb,2019
VT,Vermont,Y,6129.0,5035.0,176.0,5211.0,157910,31.105999999999998,-97.6475,153307,4603,Feb,2019
MD,Maryland,Y,92505.0,26166.0,2967.0,29133.0,1315090,42.2373,-71.5314,1158817,156273,Feb,2019
